naslov,izvajalec,kliki,tezavnost,akordi
Set Fire To The Rain,Adele,2873060,intermediate,"['Dm', 'F', 'C', 'Gm', 'Csus4', 'Bb', 'F/A', 'Am', 'G']"
Is This Love,Bob Marley,1503272,intermediate,"['F#m', 'D', 'A', 'C#m', 'Bm', 'E', 'Dmaj7']"
Man In The Mirror,Michael Jackson,2310503,advanced,"['G', 'D/F#', 'Em7', 'D', 'Cadd9', 'Em', 'C', 'Am7', 'G/B', 'A/C#', 'Dm', 'Ab', 'Ab/C', 'Db', 'Eb', 'Bb/D', 'Ebm', 'Eb/G', 'Fm']"
Santa Baby,Taylor Swift,790822,absolute beginner,"['D', 'G', 'Em', 'A', 'E']"
Secrets,OneRepublic,1186650,beginner,"['C', 'Em/B', 'Am', 'F']"
The Way I Am,Ingrid Michaelson,861794,intermediate,"['F', 'Bb', 'Dm', 'C', 'Db', 'C6', 'G7', 'Db7', 'C7']"
Lonely Day,System Of A Down,1309822,beginner,"['Am', 'F', 'C', 'E7', 'G']"
You Give Me Something,James Morrison,1357636,intermediate,"['Ab', 'G7', 'D/F#', 'Em7', 'EbM7', 'Fm', 'C', 'G', 'F', 'Am', 'Em', 'Dm7', 'Am7', 'Bb']"
Its You,Ali Gatie,1798990,beginner,"['Am', 'F', 'G', 'C']"
Sunday Bloody Sunday,U2,783279,beginner,"['Bm', 'D', 'G6', 'Em', 'F']"
April,Fiersa Besari,1831777,intermediate,"['D', 'F#m', 'G', 'Bm', 'A', 'Em', 'A/C#', 'E', 'Am', 'D7', 'F#']"
With You,Chris Brown,1115449,intermediate,"['D', 'A', 'G', 'Bm', 'F#m7']"
Redemption Song,Bob Marley,6260579,intermediate,"['G', 'Em', 'Em7', 'C', 'G/B', 'Am', 'Am7', 'D', 'C/B', 'Am6']"
Aint No Sunshine,Bill Withers,5020668,absolute beginner,"['Am', 'Em', 'G', 'Dm']"
